run_id,workload,mode,proof_sha256,public_input_sha256,verifier_source_id,verifier_binary_sha256,verify_result,error
phase5fc_formal_H1_M1_r1,H1,Memory-local,edc44cd2c74c8bddb628dde3ee7c5b3d698e8de380f5e7cbf07d4e1875342606,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M1_r2,H1,Memory-local,c78b23e08a1b2d1412a7cd47f5b04e94e966c243af515485c45f9075179812c1,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M1_r3,H1,Memory-local,c4d0284a5f525226f8d56bdb80b661f3d636138aed0ae5e413af7abbaa0dbc52,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M1_r4,H1,Memory-local,0f5ce1ea20bad6863182d98685b670b02286b6ec255345178dfe6995eff635f3,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M1_r5,H1,Memory-local,f31071e2dfe47d52e421bb84a801b45d0ac392102139a6238eb0ce0b0a02a3df,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M2_r1,H1,Selected,9bbf217a3bdbcbd80952ad7e47a2114a7524a15bbca1c199cb95fe44e2de720a,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M2_r2,H1,Selected,1c0f2f33b40a1c7f342a17f8ce836ca45e6a12ccd347412b46cc849e6d6b5bc4,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M2_r3,H1,Selected,cd9d4cf1acfedde9b523cf7448b7a22bb6901fd5e4b5e6c23beea581992c8836,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M2_r4,H1,Selected,376cea28df9b69285d1131e4fb2770d56b6ab1f8a31aa8d4163c7a621eb44c77,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M2_r5,H1,Selected,a3884b8e88168de0fe9e48ed0e52a03cf4ff17831598884256fda5acf1c14f15,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M4_r1,H1,PBMO-enabled,abad9aad80cb6e8575fe511c968815063e60af657d28b9c4d43931677d967580,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M4_r2,H1,PBMO-enabled,eb3f698b787e505a5f176ef9f7a1fe99d34197619c37cb3232d21d15d2185784,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
phase5fc_formal_H1_M4_r3,H1,PBMO-enabled,078c13956bcca908ff1b9d50741f92b9805f30fb33bf84771b83995b30b2e76a,2ce6310448458261065c5d6ff577597886db4f81f45e8ea2bdae3fabf1eb3995,spartan-baseline-testable-0.9.0-tree-sha256:64028097e7122bb7f50a4ad77e23a967f74cbce9a2eaf244164c8c38c574a921,d864905064415fd60bfda8708f99cf353a9670ee8e4f51e09c280f12648fcf87,PASS,
